periode,nama_dosen,mata_kuliah,program studi,kategori_komentar,komentar,label_sentimen,comment_length_chars,komentar_cleaned,word_count,sentiment_model_label_raw,sentiment_model_score,sentiment_label,label
2024-2,EFRIZAL ZAIDA,keamanan komputer dan jaringan,teknik informatika,kritik & saran,"Terima kasih pak, sehat terus dan semoga ilmunya berkah",,55,terima kasih pak sehat terus dan semoga ilmunya berkah,9,LABEL_1,0.9881835579872131,positif,1
2024-1,AHMAD RIO ADRIANSYAH,natural language processing,teknik informatika,open question,Mata Kuliah ini sudah berjalan dengan sangat baik,,49,mata kuliah ini sudah berjalan dengan sangat baik,8,LABEL_1,0.891912579536438,positif,1
2024-2,Maulana Fakih Latief,jaringan komputer,sistem informasi,open question,Seru dan Asik,,13,seru dan asik,3,LABEL_1,0.9916634559631348,positif,1
2024-1,TIFANNY NABARIAN,rekayasa perangkat lunak,teknik informatika,kritik & saran,"Sangat baik, semangat Bu Tiffany. Terimakasih atas ilmunya :)",,61,sangat baik semangat bu tiffany terimakasih atas ilmunya,8,LABEL_1,0.9898443222045898,positif,1
2024-1,SIROJUL MUNIR,sistem informasi geografis,teknik informatika,open question,Dosen sebaiknya upload materi terlebih dahulu di elena sebelum memulai pelajaran dan harapan nya semoga pak dosen sehat selalu dan selalu sabar menghadapi mahasiswa nya,,168,dosen sebaiknya upload materi terlebih dahulu di elena sebelum memulai pelajaran dan harapan nya semoga pak dosen sehat selalu dan selalu sabar menghadapi mahasiswa nya,25,LABEL_1,0.8435806632041931,positif,1
2024-1,NASRUL,pemrograman web 1,sistem informasi,open question,mata kuliah ini harus dikembangkan terus untuk maba seperti kita,,64,mata kuliah ini harus dikembangkan terus untuk maba seperti kita,10,LABEL_1,0.7375529408454895,positif,1
2024-1,Maulana Fakih Latief,sistem operasi,sistem informasi,kritik & saran,"Cara ajar Pak Latief sudah sangat baik, jawaban dari semua pertanyaan yang kami sampaikan di jawab dengan sangat baik dan jelas sehingga kita dapat memahaminya secara keseluruhan",,178,cara ajar pak latief sudah sangat baik jawaban dari semua pertanyaan yang kami sampaikan di jawab dengan sangat baik dan jelas sehingga kita dapat memahaminya secara keseluruhan,27,LABEL_1,0.8550620079040527,positif,1
2024-2,SIROJUL MUNIR,pemrograman web 2,teknik informatika,open question,terimakasih atas satu semesternya🙏🤍,,35,terimakasih atas satu semesternya,4,LABEL_1,0.9478288888931274,positif,1
2024-1,RIZKIA NURINAYANTI,pembentukan karakter,teknik informatika,open question,Kelas dimulai dan diakhiri tepat waktu mungkin keterbatasan sumber sumber untuk belajar,,87,kelas dimulai dan diakhiri tepat waktu mungkin keterbatasan sumber sumber untuk belajar,12,LABEL_0,0.9433451294898987,negatif,0
2024-2,Maulana Fakih Latief,jaringan komputer,sistem informasi,kritik & saran,"Penyampaian materi jelas dan kadang disertai dengan candaan,menjadikan Kelas menjadi tidak tegang",,97,penyampaian materi jelas dan kadang disertai dengan candaan menjadikan kelas menjadi tidak tegang,13,LABEL_0,0.6343971490859985,negatif,0
